name,data,notebook,ts,parameters
mfe_std,0.7731748264163217,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
maxdd,-0.4034569473040916,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
win_rate,0.6356387594881009,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
ir,0.16313526102449094,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
cagr,1.2048576296923916,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
mfe,0.31212812591704153,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
ann_std,0.5217019785635013,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
sharpe,1.0253865412099052,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
mae_std,0.7358765039658044,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
mae,-0.2694038042513289,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
ann_return,0.41218467246647583,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
fees,0.3799264494941456,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
sortino,2.195538620727878,momentum-research-backtest.ipynb,2026-05-12T13:55:41.685489,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""150""}"
