Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
19	:	1778564557.833	    25.896	0	14084	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_21.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_21.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 21
20	:	1778564558.192	    26.355	0	14169	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_30.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_30.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 30
24	:	1778564558.626	    26.328	0	14031	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_80.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_80.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 80
22	:	1778564558.543	    26.413	0	13938	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_50.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_50.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 50
23	:	1778564558.598	    26.407	0	13947	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_60.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_60.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 60
21	:	1778564558.315	    26.758	0	14031	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_40.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_40.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 40
25	:	1778564581.765	    24.084	0	12800	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_100.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_100.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 100
26	:	1778564582.947	    23.519	0	13569	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_120.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_120.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 120
27	:	1778564583.738	    25.858	0	13986	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_150.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_150.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 150
28	:	1778564584.567	    25.784	0	13902	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_220.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.25_220.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.25 --days_momentum 220
32	:	1778564585.078	    25.776	0	13576	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_14.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_14.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 14
29	:	1778564584.977	    25.973	0	13724	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_3.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_3.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 3
31	:	1778564585.073	    25.907	0	13828	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_7.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_7.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 7
30	:	1778564585.005	    25.989	0	13577	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_5.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_5.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 5
34	:	1778564606.481	    23.857	0	12236	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_30.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_30.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 30
33	:	1778564605.861	    24.524	0	12508	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_21.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_21.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 21
35	:	1778564609.602	    25.769	0	13937	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_40.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_40.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 40
36	:	1778564610.363	    26.301	0	13972	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_50.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_50.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 50
37	:	1778564610.871	    26.112	0	13878	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_60.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_60.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 60
38	:	1778564610.964	    26.299	0	14003	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_80.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_80.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 80
40	:	1778564611.016	    26.285	0	13924	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_120.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_120.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 120
39	:	1778564610.994	    26.315	0	13996	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_100.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_100.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 100
42	:	1778564630.395	    23.815	0	12436	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_220.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_220.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 220
41	:	1778564630.349	    24.016	0	12353	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_150.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.1_150.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.1 --days_momentum 150
43	:	1778564635.375	    24.987	0	13317	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_3.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_3.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 3
44	:	1778564636.673	    24.768	0	13457	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_5.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_5.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 5
48	:	1778564637.316	    25.107	0	13562	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_30.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_30.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 30
46	:	1778564637.281	    25.143	0	13648	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_14.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_14.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 14
47	:	1778564637.310	    25.128	0	13668	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_21.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_21.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 21
45	:	1778564636.996	    25.470	0	13468	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_7.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_7.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 7
49	:	1778564654.222	    22.620	0	10940	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_40.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_40.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 40
50	:	1778564654.376	    23.318	0	11438	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_50.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_50.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 50
51	:	1778564660.369	    24.867	0	13335	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_60.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_60.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 60
52	:	1778564661.456	    24.462	0	13204	0	0	uv run vertex-ai-main.py momentum-research-backtest.ipynb --csv momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_80.csv --html momentum-research-backtest-results-20260512-134132/metrics_1_0.5_0.05_80.html --days_holding 1 --top_percentile 0.5 --bottom_percentile 0.05 --days_momentum 80
