name,data,notebook,ts,parameters
ir,-0.8565711041859583,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
mae_std,0.2821024509985019,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
cagr,-0.20245241767464642,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
win_rate,0.6041139662999508,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
ann_return,-0.18986176592967458,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
maxdd,-0.5289936665210491,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
sharpe,-0.36355399601410376,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
sortino,-0.2709549788728983,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
fees,0.2618781512025732,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
mfe,0.1877736024670148,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
mae,-0.1077593982541463,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
mfe_std,0.4769006987954374,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
ann_std,0.34583637099737513,momentum-research-backtest.ipynb,2026-05-12T15:55:34.226700,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""50""}"
