name,data,notebook,ts,parameters
fees,0.127347234299112,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
ann_return,-0.7294693588177702,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
sharpe,-1.2145328162394569,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
mfe,0.1266622765326711,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
cagr,-0.6728821916860481,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
mae,-0.12109970767206804,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
sortino,-1.7409419984485077,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
win_rate,0.5505323552107064,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
mae_std,0.36334574940657854,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
ann_std,0.5680078321803615,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
mfe_std,0.4098897119351509,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
maxdd,-0.6795398236868613,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
ir,-1.4708808274145475,momentum-research-backtest.ipynb,2026-05-12T14:33:34.841957,"{""days_holding"": ""7"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""21""}"
