name,data,notebook,ts,parameters
win_rate,0.5856548628554896,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
sortino,-2.1651830174225375,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
mae,-0.10773504239048787,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
ann_return,-0.42484000461781146,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
mfe_std,0.38048389875824384,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
ann_std,0.28309307532762545,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
maxdd,-0.4821087618174439,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
mfe,0.1468183717198452,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
ir,-1.3478227865345842,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
mae_std,0.2857773821291745,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
sharpe,-1.4734029997435156,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
fees,0.1051059152143112,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
cagr,-0.480228377702885,momentum-research-backtest.ipynb,2026-05-12T15:54:13.852443,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""30""}"
