name,data,notebook,ts,parameters
sharpe,0.032223562823556484,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
ann_std,0.3281080607610974,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
fees,0.35267217394397254,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
cagr,0.0614658694354385,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
maxdd,-0.5088672773200767,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
mfe,0.19758638723254218,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
ir,-0.6901132084471843,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
mae,-0.08803121824905605,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
ann_return,0.007148807648665281,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
mfe_std,0.4494469365619589,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
mae_std,0.1802189527724486,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
sortino,0.3603571118657735,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
win_rate,0.6418662259522839,momentum-research-backtest.ipynb,2026-05-12T15:25:10.260528,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""60""}"
