name,data,notebook,ts,parameters
ann_return,-0.4248400046178138,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
ir,-1.3478227865345869,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
mfe,0.14681837171984516,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
ann_std,0.2830930753276261,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
mfe_std,0.38048389875824384,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
mae_std,0.28577738212917436,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
maxdd,-0.4821087618174445,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
cagr,-0.48022837770288596,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
sharpe,-1.4734029997435156,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
mae,-0.10773504239048785,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
win_rate,0.5856123458486868,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
fees,0.1051059152143112,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
sortino,-2.165183017422537,momentum-research-backtest.ipynb,2026-05-12T15:54:50.079537,"{""days_holding"": ""60"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
