name,data,notebook,ts,parameters
fees,0.10996181748751056,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
mfe,0.1505698558814418,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
ir,-1.4577276803521713,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
mae_std,0.28425092418979947,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
ann_std,0.27821398917449053,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
sharpe,-1.437023513016019,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
mfe_std,0.4157172919503327,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
win_rate,0.5870540701334293,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
mae,-0.10896517626425946,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
maxdd,-0.4742806384340821,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
sortino,-2.1120222600316048,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
ann_return,-0.4018158922251369,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
cagr,-0.4619489807553291,momentum-research-backtest.ipynb,2026-05-12T14:07:24.721254,"{""days_holding"": ""3"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
