name,data,notebook,ts,parameters
cagr,0.5213776989695308,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
ir,-0.14716027754145924,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
maxdd,-0.5308219682125026,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
sharpe,0.7297507709826387,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
sortino,1.404635829280764,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
ann_return,0.4191285969799515,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
win_rate,0.5693088247600787,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
ann_std,0.5842993857950577,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
mae,-0.13472025517347466,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
mfe,0.15150780528633637,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
fees,0.5138706485533454,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
mfe_std,0.3243893949461198,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
mae_std,0.31530395271063055,momentum-research-backtest.ipynb,2026-05-12T15:14:47.004796,"{""days_holding"": ""20"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""40""}"
