name,data,notebook,ts,parameters
cagr,-0.3598714437416685,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
mae,-0.0943122763970623,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
sharpe,-1.4243437828183176,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
fees,0.13180284038196488,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
ann_return,-0.30270279829796676,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
ann_std,0.2061652728219317,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
mae_std,0.23470930541461488,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
mfe_std,0.3646804977567195,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
maxdd,-0.4418336970701677,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
win_rate,0.6108708920974956,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
sortino,-1.9677860141499046,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
ir,-1.4482454055773415,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
mfe,0.1552346282250608,momentum-research-backtest.ipynb,2026-05-12T15:22:39.619741,"{""days_holding"": ""30"", ""top_percentile"": ""0.75"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""5""}"
