name,data,notebook,ts,parameters
sortino,-1.1839083396954142,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
win_rate,0.6198177378679253,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
mfe_std,0.38157289382125936,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
mae_std,0.8253904686488787,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
ann_std,0.27757297627947436,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
maxdd,-0.40409580670880146,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
sharpe,-0.7410618980680657,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
ir,-0.984385779200609,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
fees,0.052653614727126916,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
mfe,0.18419257247180137,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
cagr,-0.24298256904147852,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
ann_return,-0.17612800217310942,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
mae,-0.3977511007973912,momentum-research-backtest.ipynb,2026-05-12T13:49:57.454881,"{""days_holding"": ""1"", ""top_percentile"": ""0.9"", ""bottom_percentile"": ""0.5"", ""days_momentum"": ""5""}"
