name,data,notebook,ts,parameters
win_rate,0.6999360380116959,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
maxdd,-0.6391375592392644,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
mfe,0.6348758518307499,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
mae_std,0.270047787444492,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
cagr,759.3950629197714,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
sharpe,2.3687339898999693,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
ann_return,4.3929217576901545,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
fees,1042.835220223501,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
ann_std,1.763710822840426,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
mfe_std,1.453584139866982,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
mae,-0.21787042339454651,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
sortino,6.209061971115618,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
ir,2.129981849585644,momentum-research-backtest.ipynb,2026-05-12T13:59:37.769318,"{""days_holding"": ""1"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
