name,data,notebook,ts,parameters
mae_std,0.15307613207773077,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
mfe_std,0.4346966311479,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
mae,-0.08567324061649886,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
sortino,0.09057410672628313,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
win_rate,0.6356507220567764,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
ir,-0.8460725062683606,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
mfe,0.19017048790254787,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
fees,0.2443293115527015,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
cagr,0.06265416093121409,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
maxdd,-0.4657646007578703,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
ann_std,0.28558530641579466,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
sharpe,-0.1012794934511721,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
ann_return,-0.0042125097922154076,momentum-research-backtest.ipynb,2026-05-12T14:18:59.820843,"{""days_holding"": ""7"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.05"", ""days_momentum"": ""14""}"
