name,data,notebook,ts,parameters
ir,2.066895749710948,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
ann_return,1.944179951201399,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
fees,11.092209572596934,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
sortino,6.189367681417409,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
mfe,0.4629427460721875,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
mae_std,0.23995421911945483,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
mae,-0.19579860653293535,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
mfe_std,0.9810814940936747,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
ann_std,0.7286345462863966,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
maxdd,-0.4231901272420912,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
sharpe,2.565541627147774,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
cagr,32.68268986190515,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
win_rate,0.6934883987916873,momentum-research-backtest.ipynb,2026-05-12T13:56:13.969951,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""None"", ""days_momentum"": ""220""}"
