name,data,notebook,ts,parameters
sharpe,0.13770838500515165,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
mfe,0.24235607514310847,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
fees,0.1710846529862307,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
mfe_std,0.6293812153521521,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
ann_std,0.38503450089763336,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
maxdd,-0.39874737169905855,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
ir,-0.5993215564571313,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
mae,-0.22974589690147065,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
cagr,0.06194008810545518,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
win_rate,0.6116586640957125,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
sortino,0.37428279327775005,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
mae_std,0.6334532198936128,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
ann_return,0.031160250733203013,momentum-research-backtest.ipynb,2026-05-12T13:54:41.304044,"{""days_holding"": ""1"", ""top_percentile"": ""0.95"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""30""}"
