name,data,notebook,ts,parameters
mae,-0.11672339463258133,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
mfe,0.10071239425880923,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
mfe_std,0.24750983178551544,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
maxdd,-0.6431977390574837,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
fees,0.06171611962961169,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
sortino,-2.79638663714911,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
ann_return,-0.7525171139323462,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
win_rate,0.5517248761850455,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
ann_std,0.420379009580172,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
cagr,-0.6997238639819452,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
mae_std,0.328466009576455,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
ir,-1.7024404034127238,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
sharpe,-1.8870898447923579,momentum-research-backtest.ipynb,2026-05-12T15:38:18.512884,"{""days_holding"": ""30"", ""top_percentile"": ""0.99"", ""bottom_percentile"": ""0.25"", ""days_momentum"": ""150""}"
