name,data,notebook,ts,parameters
win_rate,0.608750804434802,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
maxdd,-0.31694075941625177,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
ir,-0.700296763913495,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
fees,0.17673635653778774,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
mfe,0.23058358653486596,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
ann_return,0.07559055191494196,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
cagr,0.15852365781258315,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
mae,-0.15072486990056574,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
sortino,0.9583555352340204,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
ann_std,0.22418004879279438,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
sharpe,0.4578463693422695,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
mfe_std,0.44918569227395994,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
mae_std,0.317840946678278,momentum-research-backtest.ipynb,2026-05-12T13:43:30.358899,"{""days_holding"": ""1"", ""top_percentile"": ""0.5"", ""bottom_percentile"": ""0.1"", ""days_momentum"": ""5""}"
